lichess_id,ply,result,risck_player
Cic0Ey7c,69,1-0,White
grx23Szn,65,1-0,White
WTJIyjLg,114,1-0,Black
NpaYFq3M,95,1-0,White
ctbsVIVu,75,1-0,White
CVgptFY9,78,1-0,Black
iPQh79CA,52,0-1,Black
KFHDCZIv,96,1-0,Black
BjAbscM3,59,1-0,White
Vfbrhmk5,94,0-1,Black
gFYprYWY,52,0-1,Black
ugMS4O0I,107,1-0,White
WGxL47q2,42,0-1,Black
2b5dxYGi,72,0-1,Black
O5nQsSe5,67,0-1,White
BPO0FS9a,88,0-1,Black
ouixOfhY,59,1-0,White
OsJBTET8,97,1-0,White
oXxjO2Wu,95,1-0,White
Nd02XBzo,124,0-1,Black
qK8jypu1,62,0-1,Black
PHcCYnOn,79,1-0,White
QucSV2Lu,70,0-1,Black
MOZjiKbz,101,1-0,White
0ZfhVOVv,90,0-1,Black
wfSFqnTs,86,0-1,Black
msedLnFn,130,0-1,Black
iEzMoTWz,94,0-1,Black
mfidfF0Z,51,1-0,White
3DBsnlpO,114,0-1,Black
4Nc54cRb,86,1-0,Black
N9ku2cRT,69,1-0,White
JKGGvMVz,89,1-0,White
yw3sv4YP,82,0-1,Black
t0sjM2gK,53,1-0,White
bueq31My,78,0-1,Black
hkTkCyMb,66,0-1,Black
Gz5Mr7cI,125,1-0,White
TEWD1IMe,57,1-0,White
ZAvlGgDX,74,0-1,Black
lEyGPRm9,41,1-0,White
zfQqs1GF,58,0-1,Black
JKbO985p,87,0-1,White
jqlYYmxI,50,0-1,Black
f6B3LEFW,151,1-0,White
v2ZvO8Ol,111,1-0,White
YyTGGI9W,84,0-1,Black
Jd16DAgU,72,0-1,Black
T5w9U44n,46,0-1,Black
FMqGkUMN,55,1-0,White
UrapJs43,81,1-0,White
SmiNDQnI,87,1-0,White
CfwIMMbq,98,0-1,Black
OZnMg5mD,53,1-0,White
oAd0G3Go,52,0-1,Black
6TNmxxFc,70,0-1,Black
Nr7xmF4Z,41,0-1,White
1VlL70JP,49,1-0,White
lXJGKyDV,87,0-1,White
F7076DWM,61,1-0,White
O4KOApO7,43,0-1,White
9c38j7I9,118,0-1,Black
nWCkqOhm,68,0-1,Black
B8ssSePC,60,0-1,Black
DP5PVrMZ,91,1-0,White
Uv6ywLZQ,90,0-1,Black
D45YStoq,113,1-0,White
3ZUOktew,79,1-0,White
e3W8p513,99,1-0,White
QBmVY82o,62,0-1,Black
AD19UtFg,108,0-1,Black
71Ihzdhx,59,1-0,White
RlvEepaP,110,0-1,Black
amqXuDdM,50,0-1,Black
IDP4bjCs,180,0-1,Black
OPJ4lh3s,130,0-1,Black
wrxUndef,73,1-0,White
9Y7HGP8I,82,0-1,Black
SIZ3Iuwz,127,0-1,White
9O0UcUQq,62,0-1,Black
0gRlghl0,69,1-0,White
bQb6I3Om,86,0-1,Black
DxdGUlb3,81,1-0,White
v2n5aN5k,52,0-1,Black
QoAV1H9F,87,1-0,White
xQ8uMMFS,115,1-0,White
brVpIzxk,62,0-1,Black
BXMEpSeX,55,1-0,White
LyO9dL0i,77,1-0,White
RpihGH9U,43,1-0,White
vSDP8HHb,81,1-0,White
OOAiIduk,66,1-0,Black
v4P4FLi7,79,0-1,White
EBuEPX9j,59,1-0,White
rZyAK5G4,105,1-0,White
tQzunMi7,68,0-1,Black
MYOMA9Ox,82,0-1,Black
b87kyUk2,109,1/2-1/2,White
59zUFQOM,44,0-1,Black
y9Pr654l,86,1-0,Black
9RR2MuLE,74,0-1,Black
z1LyJkuY,62,0-1,Black
f1tnE793,114,0-1,Black
TIklARka,58,0-1,Black
dsuoAIeA,99,0-1,White
xR7WOQaa,70,0-1,Black
J6WjxYnB,97,1-0,White
DXVn1LFw,64,0-1,Black
p6IbOkw8,41,1-0,White
CbbUvi2k,69,1-0,White
VvHXec4p,55,1-0,White
LV8ipl9n,89,1-0,White
myGNH4lk,107,1-0,White
3Nu69fFq,60,0-1,Black
QNeY9Rtb,94,0-1,Black
arGDiJ4v,78,0-1,Black
VsCTTFaP,79,1-0,White
IgmEdLFD,74,0-1,Black
Zbs1KY64,57,1-0,White
tBypNROS,55,1-0,White
FWGBO8GH,100,0-1,Black
idydE8j0,69,0-1,White
4qpDn6Bt,59,1-0,White
eewC0Gwd,44,0-1,Black
fYLuhl4o,113,1-0,White
uoEdNg6O,99,1-0,White
1b0hZAvl,66,1-0,Black
oyoEXqfC,205,1/2-1/2,White
ec8dFtHk,48,0-1,Black
UVdODMWo,77,1-0,White
Pbif9QpX,50,0-1,Black
WczW0LjO,139,1-0,White
uASaLAzR,73,1-0,White
