lichess_id,ply,result,risck_player
JcCITpNf,93,1-0,White
lRkwV7N6,102,1-0,Black
VowJyrkn,86,0-1,Black
VowJyrkn,90,0-1,Black
PsDSqEus,120,0-1,Black
5zUPTyBe,60,0-1,Black
Ms9qM4Gx,72,1-0,Black
TOPWuWBS,68,0-1,Black
M9WnTXKH,88,1-0,Black
JGNUCBiv,71,1-0,White
vDofph8E,72,1-0,Black
0aq3fLyo,83,1-0,White
11yWwoyz,72,0-1,Black
gA6h4y7T,117,0-1,White
KJRaHAQs,70,0-1,Black
194XOe6J,71,0-1,White
Ok9o4yKg,90,0-1,Black
L6XUW0Wm,81,1-0,White
D0WQ5WCw,71,1-0,White
D0WQ5WCw,73,1-0,White
7sH02MK1,65,0-1,White
fV2LsBLK,71,0-1,White
X3cckRsL,53,1-0,White
RrpkcSaF,85,1-0,White
2LgIV6jo,86,1-0,Black
XDtxlwHN,115,0-1,White
FvUH53DV,74,0-1,Black
1KalcDsh,35,1-0,White
Gnd4GxaU,73,1-0,White
KNliCXxQ,78,0-1,Black
wdUMJeT7,46,0-1,Black
UvyI9coR,97,1-0,White
M73inb3t,87,1-0,White
Tsqh5WGV,67,1-0,White
HpybX9nn,88,0-1,Black
5FNwLj9r,124,1-0,Black
JL8sM75o,57,1-0,White
1gpNJIAI,75,0-1,White
Ll7ktJxs,76,1-0,Black
Rs38g5y9,75,1-0,White
W63qqt17,81,1-0,White
W63qqt17,83,1-0,White
XpISAt1D,71,1-0,White
cwU7bwpM,38,0-1,Black
0MqIQKJx,94,0-1,Black
MEMHlhAV,74,0-1,Black
6i02xzkk,135,1-0,White
jNBiZWXc,70,0-1,Black
YtkXo0pA,68,0-1,Black
K0cGWOok,60,0-1,Black
LidrhmTw,116,1-0,Black
fBauXf8m,47,1-0,White
NCYjUS79,53,1-0,White
TCShvgGu,115,1-0,White
4qJgVYhQ,75,1-0,White
7jaqTgLC,51,0-1,White
7jaqTgLC,53,0-1,White
EmOe384z,91,1-0,White
rr1u3EZf,77,1-0,White
G5yx7mTp,80,0-1,Black
0KWQPMQ2,77,1-0,White
B3vjBJoS,106,0-1,Black
Ut8sLG6N,85,0-1,White
QrNCnE03,121,1-0,White
bhzgSoHl,130,0-1,Black
5QrArndn,94,1-0,Black
HkPwQFS9,123,0-1,White
PRIWZh8x,115,1-0,White
iWGI4Red,50,0-1,Black
a2XK7aT9,90,1-0,Black
2oIlwNqS,76,0-1,Black
o05iN4dt,54,0-1,Black
0yWNFksC,87,1-0,White
BEcUFIa5,84,0-1,Black
jkPTw2U8,84,0-1,Black
NqBGez9k,76,1-0,Black
lCqhtNE5,69,0-1,White
Lp2Csqzp,102,0-1,Black
VTEYR9PQ,87,0-1,White
qkR4Yxx4,73,1-0,White
miILbkUT,141,1/2-1/2,White
5XJpwwjZ,40,0-1,Black
